Date,MD,Home,Away,FTR,HomeG,AwayG,HmOd,DrOd,AwOd,Season,hHome,hAway,hScre,hRnd
2018-12-23 09:00:00,17,Bursaspor,Yeni Malatyaspor,0,1,1,2.0,3.4,3.75,2018-2019,Bursaspor,Yeni Malatyaspor,0-0,22
2018-12-23 06:30:00,17,Erzurum BB,Kayserispor,0,1,1,1.8,3.5,4.5,2018-2019,-,-,-,-
2018-12-22 11:59:00,17,Kasimpasa,Besiktas JK,1,4,1,2.7,3.4,2.5,2018-2019,Besiktas JK,Kasimpasa,2-1,19
2018-12-22 09:00:00,17,Alanyaspor,Istanbul Basaksehir,0,1,1,3.8,3.4,1.95,2018-2019,Alanyaspor,Istanbul Basaksehir,4-1,25
2018-12-22 06:30:00,17,Ankaragucu,Goztepe,2,0,3,2.9,3.1,2.5,2018-2019,-,-,-,-
2018-12-17 13:00:00,16,Fenerbahce,Erzurum BB,0,2,2,1.5,4.0,7.0,2018-2019,-,-,-,-
2018-12-16 11:59:00,16,Besiktas JK,Trabzonspor,0,2,2,1.8,3.75,4.2,2018-2019,Trabzonspor,Besiktas JK,0-2,24
2018-12-16 09:00:00,16,Kayserispor,Akhisar Bld.Geng,1,1,0,2.45,3.2,2.9,2018-2019,Kayserispor,Akhisar Bld.Geng,1-2,33
2018-12-16 06:30:00,16,Yeni Malatyaspor,Antalyaspor,1,2,0,2.05,3.25,3.75,2018-2019,Antalyaspor,Yeni Malatyaspor,3-1,20
2018-12-15 11:59:00,16,Istanbul Basaksehir,Galatasaray,0,1,1,2.05,3.3,3.75,2018-2019,Galatasaray,Istanbul Basaksehir,2-0,29
2018-12-15 09:00:00,16,Konyaspor,Kasimpasa,1,3,2,2.05,3.6,3.4,2018-2019,Konyaspor,Kasimpasa,2-0,30
