Date,MD,Home,Away,FTR,HomeG,AwayG,HmOd,DrOd,AwOd,Season,hHome,hAway,hScre,hRnd
2020-06-16 14:30:00,32,Union Berlin,SC Paderborn 07,1,1,0,1.83,3.5,4.2,2019-2020,SC Paderborn 07,Union Berlin,1-1,15
2020-06-16 14:30:00,32,Werder Bremen,Bayern Munchen,2,0,1,15.0,7.0,1.16,2019-2020,Bayern Munchen,Werder Bremen,6-1,15
2020-06-16 12:30:00,32,Borussia M'gladbach,Wolfsburg,1,3,0,2.0,3.6,3.5,2019-2020,VfL Wolfsburg,Borussia Monchengladbach,2-1,15
2020-06-14 11:59:00,31,Schalke 04,Bayer Leverkusen,0,1,1,4.5,3.8,1.72,2019-2020,Bayer Leverkusen,Schalke 04,2-1,14
2020-06-14 09:30:00,31,Mainz 05,Augsburg,2,0,1,2.25,3.5,3.0,2019-2020,Augsburg,FSV Mainz 05,2-1,14
2020-06-13 12:30:00,31,Bayern Munchen,Borussia M'gladbach,1,2,1,1.22,7.5,9.0,2019-2020,Borussia Monchengladbach,Bayern Munchen,2-1,14
2020-06-13 09:30:00,31,FC Cologne,Union Berlin,2,1,2,2.0,3.4,3.75,2019-2020,Union Berlin,FC Koln,2-0,14
2020-06-13 09:30:00,31,Fortuna Dusseldorf,Borussia Dortmund,2,0,1,5.25,4.75,1.5,2019-2020,Borussia Dortmund,Fortuna Dusseldorf,5-0,14
2020-06-13 09:30:00,31,Hertha Berlin,Eintracht Frankfurt,2,1,4,2.4,3.4,2.8,2019-2020,Eintracht Frankfurt,Hertha Berlin,2-2,14
2020-06-13 09:30:00,31,SC Paderborn 07,Werder Bremen,2,1,5,2.62,3.3,2.6,2019-2020,Werder Bremen,SC Paderborn 07,0-1,14
2020-06-13 09:30:00,31,Wolfsburg,Freiburg,0,2,2,1.72,4.0,4.2,2019-2020,SC Freiburg,VfL Wolfsburg,1-0,14
2020-06-12 14:30:00,31,Hoffenheim,RB Leipzig,2,0,2,5.0,4.75,1.53,2019-2020,RB Leipzig,TSG Hoffenheim,3-1,14
2020-06-07 11:59:00,30,Augsburg,FC Cologne,0,1,1,2.75,3.25,2.55,2019-2020,FC Koln,Augsburg,1-1,13
2020-06-07 09:30:00,30,Union Berlin,Schalke 04,0,1,1,2.4,3.25,2.87,2019-2020,Schalke 04,Union Berlin,2-1,13
2020-06-07 07:30:00,30,Werder Bremen,Wolfsburg,2,0,1,3.4,3.4,2.1,2019-2020,VfL Wolfsburg,Werder Bremen,2-3,13
2020-06-06 12:30:00,30,Borussia Dortmund,Hertha Berlin,1,1,0,1.33,5.25,8.0,2019-2020,Hertha Berlin,Borussia Dortmund,1-2,13
2020-06-06 09:30:00,30,Bayer Leverkusen,Bayern Munchen,2,2,4,4.75,4.33,1.61,2019-2020,Bayern Munchen,Bayer Leverkusen,1-2,13
2020-06-06 09:30:00,30,Eintracht Frankfurt,Mainz 05,2,0,2,1.9,3.6,3.8,2019-2020,FSV Mainz 05,Eintracht Frankfurt,2-1,13
2020-06-06 09:30:00,30,Fortuna Dusseldorf,Hoffenheim,0,2,2,2.8,3.4,2.4,2019-2020,TSG Hoffenheim,Fortuna Dusseldorf,1-1,13
2020-06-06 09:30:00,30,RB Leipzig,SC Paderborn 07,0,1,1,1.16,7.5,13.0,2019-2020,SC Paderborn 07,RB Leipzig,2-3,13
2020-06-05 14:30:00,30,Freiburg,Borussia M'gladbach,1,1,0,3.6,3.6,1.95,2019-2020,Borussia Monchengladbach,SC Freiburg,4-2,13
2020-06-01 14:30:00,29,FC Cologne,RB Leipzig,2,2,4,5.0,4.0,1.61,2019-2020,RB Leipzig,FC Koln,4-1,12
2020-05-31 11:59:00,29,SC Paderborn 07,Borussia Dortmund,2,1,6,8.5,5.75,1.3,2019-2020,Borussia Dortmund,SC Paderborn 07,3-3,12
2020-05-31 09:30:00,29,Borussia M'gladbach,Union Berlin,1,4,1,1.53,4.33,5.5,2019-2020,Union Berlin,Borussia Monchengladbach,2-0,12
2020-05-30 12:30:00,29,Bayern Munchen,Fortuna Dusseldorf,1,5,0,1.1,10.0,17.0,2019-2020,Fortuna Dusseldorf,Bayern Munchen,0-4,12
2020-05-30 09:30:00,29,Hertha Berlin,Augsburg,1,2,0,2.0,3.5,3.6,2019-2020,Augsburg,Hertha Berlin,4-0,12
2020-05-30 09:30:00,29,Mainz 05,Hoffenheim,2,0,1,2.7,3.5,2.45,2019-2020,TSG Hoffenheim,FSV Mainz 05,1-5,12
2020-05-30 09:30:00,29,Schalke 04,Werder Bremen,2,0,1,1.9,3.5,3.9,2019-2020,Werder Bremen,Schalke 04,1-2,12
2020-05-30 09:30:00,29,Wolfsburg,Eintracht Frankfurt,2,1,2,2.0,3.6,3.5,2019-2020,Eintracht Frankfurt,VfL Wolfsburg,0-2,12
2020-05-29 14:30:00,29,Freiburg,Bayer Leverkusen,2,0,1,4.33,3.75,1.75,2019-2020,Bayer Leverkusen,SC Freiburg,1-1,12
2020-05-27 14:30:00,28,Augsburg,SC Paderborn 07,0,0,0,1.9,3.6,3.8,2019-2020,SC Paderborn 07,Augsburg,0-1,11
2020-05-27 14:30:00,28,Fortuna Dusseldorf,Schalke 04,1,2,1,2.9,3.5,2.3,2019-2020,Schalke 04,Fortuna Dusseldorf,3-3,11
2020-05-27 14:30:00,28,Hoffenheim,FC Cologne,1,3,1,2.37,3.5,2.8,2019-2020,FC Koln,TSG Hoffenheim,1-2,11
2020-05-27 14:30:00,28,Union Berlin,Mainz 05,0,1,1,2.25,3.5,3.0,2019-2020,FSV Mainz 05,Union Berlin,2-3,11
2020-05-27 12:30:00,28,RB Leipzig,Hertha Berlin,0,2,2,1.4,4.75,7.0,2019-2020,Hertha Berlin,RB Leipzig,2-4,11
2020-05-26 14:30:00,28,Bayer Leverkusen,Wolfsburg,2,1,4,1.85,3.6,4.0,2019-2020,VfL Wolfsburg,Bayer Leverkusen,0-2,11
2020-05-26 14:30:00,28,Eintracht Frankfurt,Freiburg,0,3,3,2.0,3.5,3.6,2019-2020,SC Freiburg,Eintracht Frankfurt,1-0,11
2020-05-26 14:30:00,28,Werder Bremen,Borussia M'gladbach,0,0,0,4.0,3.7,1.85,2019-2020,Borussia Monchengladbach,Werder Bremen,3-1,11
2020-05-26 12:30:00,28,Borussia Dortmund,Bayern Munchen,2,0,1,3.1,3.8,2.1,2019-2020,Bayern Munchen,Borussia Dortmund,4-0,11
2020-05-24 11:59:00,27,FC Cologne,Fortuna Dusseldorf,0,2,2,1.83,3.8,3.9,2019-2020,Fortuna Dusseldorf,FC Koln,2-0,10
