Date,MD,Home,Away,FTR,HomeG,AwayG,HmOd,DrOd,AwOd,Season,hHome,hAway,hScre,hRnd,Date_Only
2025-09-15 14:45:00,3,Como,Genoa,0,-1,-1,1.65,3.7,5.25,2025-2026,Como,Genoa,1-0,34,2025-09-15
2025-09-15 12:30:00,3,Hellas Verona,Cremonese,0,-1,-1,2.0,3.4,3.75,2025-2026,Cremonese,Verona,1-1,32,2025-09-15
2025-09-14 14:45:00,3,AC Milan,Bologna,1,1,0,1.73,3.75,4.5,2025-2026,AC Milan,Bologna,3-1,36,2025-09-14
2025-09-14 12:00:00,3,Sassuolo,Lazio,1,1,0,3.25,3.6,2.1,2025-2026,Lazio,Sassuolo,1-1,38,2025-09-14
2025-09-14 09:00:00,3,Atalanta,Lecce,1,4,1,1.45,4.33,7.0,2025-2026,Atalanta,Lecce,1-1,34,2025-09-14
2025-09-14 09:00:00,3,Pisa,Udinese,2,0,1,2.75,3.1,2.63,2025-2026,-,-,-,-,2025-09-14
2025-09-14 06:30:00,3,AS Roma,Torino,2,0,1,1.5,4.0,7.0,2025-2026,Torino,AS Roma,0-2,38,2025-09-14
2025-09-13 14:45:00,3,Fiorentina,Napoli,2,1,3,3.3,3.4,2.1,2025-2026,Napoli,Fiorentina,2-1,28,2025-09-13
2025-09-13 12:00:00,3,Juventus,Inter,1,4,3,2.5,3.3,2.88,2025-2026,Juventus,Inter Milan,1-0,25,2025-09-13
2025-09-13 09:00:00,3,Cagliari,Parma,1,2,0,2.25,3.25,3.25,2025-2026,Cagliari,Parma,2-1,24,2025-09-13
2025-08-31 14:45:00,2,Inter,Udinese,2,1,2,1.3,5.0,12.0,2025-2026,Inter Milan,Udinese,2-1,30,2025-08-31
2025-08-31 14:45:00,2,Lazio,Hellas Verona,1,4,0,1.44,4.5,7.5,2025-2026,Verona,Lazio,0-3,21,2025-08-31
2025-08-31 12:30:00,2,Genoa,Juventus,2,0,1,4.33,3.4,1.9,2025-2026,Juventus,Genoa,1-0,30,2025-08-31
2025-08-31 12:30:00,2,Torino,Fiorentina,0,0,0,3.0,3.2,2.45,2025-2026,Fiorentina,Torino,1-1,21,2025-08-31
2025-08-30 14:45:00,2,Napoli,Cagliari,1,1,0,1.29,5.25,12.0,2025-2026,Napoli,Cagliari,2-0,38,2025-08-30
2025-08-30 14:45:00,2,Pisa,AS Roma,2,0,1,6.0,3.5,1.67,2025-2026,Pisa,AS Roma,0-1,34,2025-08-30
2025-08-30 12:30:00,2,Bologna,Como,1,1,0,2.0,3.4,3.8,2025-2026,Bologna,Como,2-0,23,2025-08-30
2025-08-30 12:30:00,2,Parma,Atalanta,0,1,1,5.5,3.8,1.65,2025-2026,Atalanta,Parma,2-3,38,2025-08-30
2025-08-29 14:45:00,2,Lecce,AC Milan,2,0,2,5.25,3.3,1.8,2025-2026,Lecce,AC Milan,2-3,28,2025-08-29
2025-08-29 12:30:00,2,Cremonese,Sassuolo,1,3,2,2.3,3.4,3.1,2025-2026,Cremonese,Sassuolo,1-1,37,2025-08-29
2025-08-25 14:45:00,1,Inter,Torino,1,5,0,1.38,4.5,8.5,2025-2026,Torino,Inter Milan,0-2,36,2025-08-25
2025-08-25 12:30:00,1,Udinese,Hellas Verona,0,1,1,1.9,3.3,4.33,2025-2026,Udinese,Verona,0-1,29,2025-08-25
2025-08-24 14:45:00,1,Atalanta,Pisa,0,1,1,1.4,4.75,7.0,2025-2026,Pisa,Atalanta,0-2,27,2025-08-24
2025-08-24 14:45:00,1,Juventus,Parma,1,2,0,1.38,4.5,8.5,2025-2026,Parma,Juventus,1-0,33,2025-08-24
2025-08-24 12:30:00,1,Cagliari,Fiorentina,0,1,1,2.88,3.25,2.4,2025-2026,Cagliari,Fiorentina,1-2,33,2025-08-24
2025-08-24 12:30:00,1,Como,Lazio,1,2,0,2.7,3.2,2.63,2025-2026,Lazio,Como,1-1,20,2025-08-24
2025-08-23 14:45:00,1,AC Milan,Cremonese,2,1,2,1.33,4.75,8.5,2025-2026,AC Milan,Cremonese,1-1,33,2025-08-23
2025-08-23 14:45:00,1,AS Roma,Bologna,1,1,0,2.1,3.25,3.6,2025-2026,Bologna,AS Roma,2-2,20,2025-08-23
2025-08-23 12:30:00,1,Genoa,Lecce,0,0,0,1.9,3.3,4.2,2025-2026,Genoa,Lecce,2-1,29,2025-08-23
2025-08-23 12:30:00,1,Sassuolo,Napoli,2,0,2,6.25,4.5,1.45,2025-2026,Sassuolo,Napoli,1-6,21,2025-08-23
2025-05-25 14:45:00,38,Atalanta,Parma,2,2,3,1.44,4.8,6.5,2024-2025,Parma,Atalanta,1-3,13,2025-05-25
2025-05-25 14:45:00,38,Empoli,Hellas Verona,2,1,2,2.1,3.2,3.8,2024-2025,Verona,Empoli,1-4,15,2025-05-25
2025-05-25 14:45:00,38,Lazio,Lecce,2,0,1,1.44,4.6,7.0,2024-2025,Lecce,Lazio,1-2,17,2025-05-25
2025-05-25 14:45:00,38,Torino,AS Roma,2,0,2,5.75,3.8,1.62,2024-2025,AS Roma,Torino,1-0,10,2025-05-25
2025-05-25 14:45:00,38,Udinese,Fiorentina,2,2,3,3.8,3.6,1.95,2024-2025,Fiorentina,Udinese,1-2,17,2025-05-25
2025-05-25 14:45:00,38,Venezia,Juventus,2,2,3,5.5,4.0,1.6,2024-2025,Juventus,Venezia,2-2,16,2025-05-25
2025-05-24 14:45:00,38,AC Milan,Monza,1,2,0,1.22,6.5,12.0,2024-2025,Monza,AC Milan,0-1,11,2025-05-24
2025-05-24 12:00:00,38,Bologna,Genoa,2,1,3,1.53,4.2,6.0,2024-2025,Genoa,Bologna,2-2,8,2025-05-24
2025-05-23 14:45:00,38,Como,Inter,2,0,2,5.5,4.2,1.57,2024-2025,Inter Milan,Como,2-0,17,2025-05-23
2025-05-23 14:45:00,38,Napoli,Cagliari,1,2,0,1.25,5.75,13.0,2024-2025,Cagliari,Napoli,0-4,4,2025-05-23
2025-05-18 14:45:00,37,AS Roma,AC Milan,1,3,1,1.85,3.75,3.9,2024-2025,AC Milan,AS Roma,1-1,18,2025-05-18
2025-05-18 14:45:00,37,Cagliari,Venezia,1,3,0,2.6,3.0,3.0,2024-2025,Venezia,Cagliari,2-1,17,2025-05-18
2025-05-18 14:45:00,37,Fiorentina,Bologna,1,3,2,3.1,3.2,2.35,2024-2025,Bologna,Fiorentina,1-0,16,2025-05-18
2025-05-18 14:45:00,37,Hellas Verona,Como,0,1,1,3.5,3.3,2.1,2024-2025,Como,Verona,3-2,6,2025-05-18
2025-05-18 14:45:00,37,Inter,Lazio,0,2,2,1.85,3.75,3.9,2024-2025,Lazio,Inter Milan,0-6,16,2025-05-18
2025-05-18 14:45:00,37,Juventus,Udinese,1,2,0,1.4,4.5,8.5,2024-2025,Udinese,Juventus,0-2,11,2025-05-18
2025-05-18 14:45:00,37,Lecce,Torino,1,1,0,2.1,3.1,3.8,2024-2025,Torino,Lecce,0-0,4,2025-05-18
2025-05-18 14:45:00,37,Monza,Empoli,2,1,3,4.33,3.5,1.85,2024-2025,Empoli,Monza,0-0,1,2025-05-18
2025-05-18 14:45:00,37,Parma,Napoli,0,0,0,6.0,4.33,1.5,2024-2025,Napoli,Parma,2-1,3,2025-05-18
2025-05-17 14:45:00,37,Genoa,Atalanta,2,2,3,5.25,3.9,1.62,2024-2025,Atalanta,Genoa,5-1,7,2025-05-17
2025-05-12 14:45:00,36,Atalanta,AS Roma,1,2,1,1.85,3.6,4.0,2024-2025,AS Roma,Atalanta,0-2,14,2025-05-12
2025-05-12 12:30:00,36,Venezia,Fiorentina,1,2,1,3.3,3.2,2.2,2024-2025,Fiorentina,Venezia,0-0,2,2025-05-12
2025-05-11 14:45:00,36,Napoli,Genoa,0,2,2,1.33,4.75,9.5,2024-2025,Genoa,Napoli,1-2,17,2025-05-11
2025-05-11 12:00:00,36,Torino,Inter,2,0,2,5.25,3.7,1.67,2024-2025,Inter Milan,Torino,3-2,7,2025-05-11
2025-05-11 09:00:00,36,Hellas Verona,Lecce,0,1,1,2.2,3.1,3.5,2024-2025,Lecce,Verona,1-0,10,2025-05-11
2025-05-11 06:30:00,36,Udinese,Monza,2,1,2,1.53,4.1,6.5,2024-2025,Monza,Udinese,1-2,15,2025-05-11
2025-05-10 14:45:00,36,Empoli,Parma,1,2,1,2.5,3.25,2.88,2024-2025,Parma,Empoli,1-1,9,2025-05-10
2025-05-10 12:00:00,36,Lazio,Juventus,0,1,1,2.35,3.25,3.1,2024-2025,Juventus,Lazio,1-0,8,2025-05-10
2025-05-10 09:00:00,36,Como,Cagliari,1,3,1,1.75,3.75,4.5,2024-2025,Cagliari,Como,1-1,2,2025-05-10
2025-05-09 14:45:00,36,AC Milan,Bologna,1,3,1,2.25,3.4,3.2,2024-2025,Bologna,AC Milan,2-1,9,2025-05-09
2025-05-05 14:45:00,35,Genoa,AC Milan,2,1,2,3.8,3.4,1.95,2024-2025,AC Milan,Genoa,0-0,16,2025-05-05
2025-05-04 14:45:00,35,Bologna,Juventus,0,1,1,2.55,3.0,3.0,2024-2025,Juventus,Bologna,2-2,15,2025-05-04
2025-05-04 12:00:00,35,AS Roma,Fiorentina,1,1,0,1.8,3.5,4.5,2024-2025,Fiorentina,AS Roma,5-1,9,2025-05-04
2025-05-04 09:00:00,35,Monza,Atalanta,2,0,4,10.0,5.5,1.29,2024-2025,Atalanta,Monza,2-0,10,2025-05-04
2025-05-04 06:30:00,35,Empoli,Lazio,2,0,1,4.0,3.5,1.91,2024-2025,Lazio,Empoli,2-1,7,2025-05-04
2025-05-03 14:45:00,35,Inter,Hellas Verona,1,1,0,1.3,5.0,10.0,2024-2025,Verona,Inter Milan,0-5,13,2025-05-03
2025-05-03 12:00:00,35,Lecce,Napoli,2,0,1,5.75,3.8,1.62,2024-2025,Napoli,Lecce,1-0,9,2025-05-03
2025-05-03 09:00:00,35,Cagliari,Udinese,2,1,2,2.25,3.1,3.4,2024-2025,Udinese,Cagliari,2-0,9,2025-05-03
2025-05-03 09:00:00,35,Parma,Como,2,0,1,3.1,3.3,2.3,2024-2025,Como,Parma,1-1,8,2025-05-03
2025-05-02 14:45:00,35,Torino,Venezia,0,1,1,1.91,3.2,4.5,2024-2025,Venezia,Torino,0-1,3,2025-05-02
2025-04-28 14:45:00,34,Hellas Verona,Cagliari,2,0,2,2.55,3.0,3.0,2024-2025,Cagliari,Verona,1-0,14,2025-04-28
2025-04-28 14:45:00,34,Lazio,Parma,0,2,2,1.53,4.33,5.5,2024-2025,Parma,Lazio,3-1,14,2025-04-28
2025-04-28 12:30:00,34,Udinese,Bologna,0,0,0,4.2,3.25,1.91,2024-2025,Bologna,Udinese,1-1,1,2025-04-28
2025-04-27 14:45:00,34,Atalanta,Lecce,0,1,1,1.3,5.5,9.0,2024-2025,Lecce,Atalanta,0-4,1,2025-04-27
2025-04-27 14:45:00,34,Napoli,Torino,1,2,0,1.48,4.1,6.5,2024-2025,Torino,Napoli,0-1,14,2025-04-27
2025-04-27 12:00:00,34,Juventus,Monza,1,2,0,1.2,6.5,13.0,2024-2025,Monza,Juventus,1-2,17,2025-04-27
2025-04-27 09:00:00,34,Fiorentina,Empoli,1,2,1,1.6,3.75,5.5,2024-2025,Empoli,Fiorentina,0-0,6,2025-04-27
2025-04-27 09:00:00,34,Inter,AS Roma,2,0,1,1.7,3.8,4.75,2024-2025,AS Roma,Inter Milan,0-1,8,2025-04-27
2025-04-27 06:30:00,34,Como,Genoa,1,1,0,1.85,3.4,4.33,2024-2025,Genoa,Como,1-1,12,2025-04-27
2025-04-27 06:30:00,34,Venezia,AC Milan,2,0,2,4.75,4.0,1.62,2024-2025,AC Milan,Venezia,4-0,4,2025-04-27
2025-04-23 12:30:00,33,Cagliari,Fiorentina,2,1,2,3.1,3.1,2.45,2024-2025,Fiorentina,Cagliari,1-0,15,2025-04-23
2025-04-23 12:30:00,33,Genoa,Lazio,2,0,2,3.3,3.2,2.3,2024-2025,Lazio,Genoa,3-0,9,2025-04-23
2025-04-23 12:30:00,33,Parma,Juventus,1,1,0,4.75,3.6,1.75,2024-2025,Juventus,Parma,2-2,10,2025-04-23
2025-04-23 12:30:00,33,Torino,Udinese,1,2,0,2.4,2.9,3.3,2024-2025,Udinese,Torino,2-2,18,2025-04-23
2025-04-20 14:45:00,33,AC Milan,Atalanta,2,0,1,2.6,3.4,2.6,2024-2025,Atalanta,AC Milan,2-1,15,2025-04-20
2025-04-20 12:00:00,33,Bologna,Inter,1,1,0,4.2,3.1,2.0,2024-2025,Inter Milan,Bologna,2-2,19,2025-04-20
2025-04-20 09:00:00,33,Empoli,Venezia,0,2,2,2.1,3.1,3.75,2024-2025,Venezia,Empoli,1-1,19,2025-04-20
2025-04-19 14:45:00,33,AS Roma,Hellas Verona,1,1,0,1.44,4.0,8.0,2024-2025,Verona,AS Roma,3-2,11,2025-04-19
2025-04-19 12:00:00,33,Monza,Napoli,2,0,1,8.0,4.8,1.36,2024-2025,Napoli,Monza,2-0,6,2025-04-19
2025-04-19 09:00:00,33,Lecce,Como,2,0,3,2.7,3.1,2.7,2024-2025,Como,Lecce,2-0,18,2025-04-19
2025-04-14 14:45:00,32,Napoli,Empoli,1,3,0,1.29,5.5,9.0,2024-2025,Empoli,Napoli,0-1,8,2025-04-14
2025-04-13 14:45:00,32,Lazio,AS Roma,0,1,1,2.38,3.25,2.88,2024-2025,AS Roma,Lazio,2-0,19,2025-04-13
2025-04-13 12:00:00,32,Como,Torino,1,1,0,2.25,3.3,3.1,2024-2025,Torino,Como,1-0,9,2025-04-13
2025-04-13 09:00:00,32,Fiorentina,Parma,0,0,0,1.57,4.0,5.25,2024-2025,Parma,Fiorentina,1-1,1,2025-04-13
2025-04-13 09:00:00,32,Hellas Verona,Genoa,0,0,0,2.63,3.25,2.6,2024-2025,Genoa,Verona,0-2,3,2025-04-13
2025-04-13 06:30:00,32,Atalanta,Bologna,1,2,0,1.7,3.8,4.5,2024-2025,Bologna,Atalanta,1-1,6,2025-04-13
2025-04-12 14:45:00,32,Juventus,Lecce,1,2,1,1.3,5.25,8.5,2024-2025,Lecce,Juventus,1-1,14,2025-04-12
2025-04-12 12:00:00,32,Inter,Cagliari,1,3,1,1.22,6.0,11.0,2024-2025,Cagliari,Inter Milan,0-3,18,2025-04-12
2025-04-12 09:00:00,32,Venezia,Monza,1,1,0,2.15,3.2,3.4,2024-2025,Monza,Venezia,2-2,9,2025-04-12
2025-04-11 14:45:00,32,Udinese,AC Milan,2,0,4,3.5,3.5,2.0,2024-2025,AC Milan,Udinese,1-0,8,2025-04-11
2025-04-07 14:45:00,31,Bologna,Napoli,0,1,1,3.25,3.3,2.25,2024-2025,Napoli,Bologna,3-0,2,2025-04-07
2025-04-06 14:45:00,31,AS Roma,Juventus,0,1,1,2.63,3.5,2.6,2024-2025,Juventus,AS Roma,0-0,3,2025-04-06
2025-04-06 12:00:00,31,Atalanta,Lazio,2,0,1,2.1,3.5,3.4,2024-2025,Lazio,Atalanta,1-1,18,2025-04-06
2025-04-06 09:00:00,31,Empoli,Cagliari,0,0,0,2.38,3.3,3.0,2024-2025,Cagliari,Empoli,0-2,5,2025-04-06
2025-04-06 09:00:00,31,Torino,Hellas Verona,0,1,1,2.0,3.5,3.75,2024-2025,Verona,Torino,2-3,5,2025-04-06
2025-04-06 06:30:00,31,Lecce,Venezia,0,1,1,2.0,3.5,3.75,2024-2025,Venezia,Lecce,0-1,13,2025-04-06
2025-04-05 14:45:00,31,AC Milan,Fiorentina,0,2,2,2.0,3.5,3.75,2024-2025,Fiorentina,AC Milan,2-1,7,2025-04-05
2025-04-05 12:00:00,31,Parma,Inter,0,2,2,9.5,5.0,1.33,2024-2025,Inter Milan,Parma,3-1,15,2025-04-05
2025-04-05 09:00:00,31,Monza,Como,2,1,3,3.5,3.6,2.05,2024-2025,Como,Monza,1-1,14,2025-04-05
2025-04-04 14:45:00,31,Genoa,Udinese,1,1,0,2.25,3.5,3.1,2024-2025,Udinese,Genoa,0-2,14,2025-04-04
2025-03-31 14:45:00,30,Lazio,Torino,0,1,1,1.57,3.9,6.0,2024-2025,Torino,Lazio,2-3,6,2025-03-31
2025-03-31 12:30:00,30,Hellas Verona,Parma,0,0,0,2.15,3.5,3.25,2024-2025,Parma,Verona,2-3,16,2025-03-31
2025-03-30 14:45:00,30,Napoli,AC Milan,1,2,1,2.0,3.5,3.6,2024-2025,AC Milan,Napoli,0-2,10,2025-03-30
2025-03-30 12:00:00,30,Inter,Udinese,1,2,1,1.3,5.0,11.0,2024-2025,Udinese,Inter Milan,2-3,6,2025-03-30
2025-03-30 09:00:00,30,Fiorentina,Atalanta,1,1,0,3.6,3.5,2.0,2024-2025,Atalanta,Fiorentina,3-2,4,2025-03-30
2025-03-30 06:30:00,30,Cagliari,Monza,1,3,0,2.0,3.25,4.0,2024-2025,Monza,Cagliari,1-2,19,2025-03-30
2025-03-29 15:45:00,30,Lecce,AS Roma,2,0,1,4.33,3.7,1.8,2024-2025,AS Roma,Lecce,4-1,15,2025-03-29
2025-03-29 13:00:00,30,Juventus,Genoa,1,1,0,1.36,4.5,10.0,2024-2025,Genoa,Juventus,0-3,6,2025-03-29
2025-03-29 10:00:00,30,Como,Empoli,0,1,1,1.91,3.2,4.5,2024-2025,Empoli,Como,1-0,11,2025-03-29
2025-03-29 10:00:00,30,Venezia,Bologna,2,0,1,4.5,3.75,1.75,2024-2025,Bologna,Venezia,3-0,14,2025-03-29
2025-03-16 15:45:00,29,Atalanta,Inter,2,0,2,3.1,3.5,2.25,2024-2025,Inter Milan,Atalanta,4-0,3,2025-03-16
2025-03-16 13:00:00,29,Fiorentina,Juventus,1,3,0,3.1,3.2,2.4,2024-2025,Juventus,Fiorentina,2-2,18,2025-03-16
2025-03-16 11:00:00,29,AS Roma,Cagliari,1,1,0,1.5,4.33,6.5,2024-2025,Cagliari,AS Roma,0-0,1,2025-03-16
2025-03-16 10:00:00,29,Bologna,Lazio,1,5,0,2.88,3.1,2.63,2024-2025,Lazio,Bologna,3-0,13,2025-03-16
2025-03-16 07:30:00,29,Venezia,Napoli,0,0,0,7.0,4.5,1.44,2024-2025,Napoli,Venezia,1-0,18,2025-03-16
2025-03-15 15:45:00,29,Torino,Empoli,1,1,0,1.95,3.1,4.5,2024-2025,Empoli,Torino,0-1,16,2025-03-15
2025-03-15 13:00:00,29,AC Milan,Como,1,2,1,1.53,4.0,6.5,2024-2025,Como,AC Milan,1-2,19,2025-03-15
2025-03-15 10:00:00,29,Monza,Parma,0,1,1,2.75,3.1,2.75,2024-2025,Parma,Monza,2-1,18,2025-03-15
2025-03-15 10:00:00,29,Udinese,Hellas Verona,2,0,1,1.91,3.5,4.1,2024-2025,Verona,Udinese,0-0,19,2025-03-15
2025-03-14 15:45:00,29,Genoa,Lecce,1,2,1,2.0,3.1,4.33,2024-2025,Lecce,Genoa,0-0,19,2025-03-14
2025-03-10 15:45:00,28,Lazio,Udinese,0,1,1,1.6,3.8,6.25,2024-2025,Udinese,Lazio,2-1,2,2025-03-10
2025-03-09 15:45:00,28,Juventus,Atalanta,2,0,4,2.4,3.1,3.2,2024-2025,Atalanta,Juventus,1-1,19,2025-03-09
2025-03-09 13:00:00,28,Empoli,AS Roma,2,0,1,4.1,3.4,1.95,2024-2025,AS Roma,Empoli,1-2,2,2025-03-09
2025-03-09 10:00:00,28,Napoli,Fiorentina,1,2,1,1.67,3.9,5.0,2024-2025,Fiorentina,Napoli,0-3,19,2025-03-09
2025-03-09 07:30:00,28,Hellas Verona,Bologna,2,1,2,4.1,3.4,1.95,2024-2025,Bologna,Verona,2-3,18,2025-03-09
2025-03-08 14:45:00,28,Inter,Monza,1,3,2,1.18,7.5,15.0,2024-2025,Monza,Inter Milan,1-1,4,2025-03-08
2025-03-08 13:00:00,28,Lecce,AC Milan,2,2,3,5.5,3.75,1.67,2024-2025,AC Milan,Lecce,3-0,6,2025-03-08
2025-03-08 10:00:00,28,Como,Venezia,0,1,1,2.1,3.3,3.75,2024-2025,Venezia,Como,2-2,15,2025-03-08
2025-03-08 10:00:00,28,Parma,Torino,0,2,2,2.9,3.3,2.45,2024-2025,Torino,Parma,0-0,19,2025-03-08
2025-03-07 15:45:00,28,Cagliari,Genoa,0,1,1,2.5,3.2,3.0,2024-2025,Genoa,Cagliari,2-2,13,2025-03-07
2025-03-03 15:45:00,27,Juventus,Hellas Verona,1,2,0,1.3,5.25,11.0,2024-2025,Verona,Juventus,0-3,2,2025-03-03
2025-03-02 15:45:00,27,AC Milan,Lazio,2,1,2,2.1,3.5,3.4,2024-2025,Lazio,AC Milan,2-2,3,2025-03-02
2025-03-02 13:00:00,27,AS Roma,Como,1,2,1,1.8,3.75,4.33,2024-2025,Como,AS Roma,2-0,16,2025-03-02
2025-03-02 10:00:00,27,Bologna,Cagliari,1,2,1,1.6,3.8,6.0,2024-2025,Cagliari,Bologna,0-2,10,2025-03-02
2025-03-02 10:00:00,27,Genoa,Empoli,0,1,1,2.05,3.2,4.0,2024-2025,Empoli,Genoa,1-2,18,2025-03-02
2025-03-02 07:30:00,27,Monza,Torino,2,0,2,3.4,3.2,2.25,2024-2025,Torino,Monza,1-1,13,2025-03-02
2025-03-01 15:45:00,27,Udinese,Parma,1,1,0,1.95,3.5,4.0,2024-2025,Parma,Udinese,2-3,4,2025-03-01
2025-03-01 13:00:00,27,Napoli,Inter,0,1,1,2.75,3.25,2.63,2024-2025,Inter Milan,Napoli,1-1,12,2025-03-01
2025-03-01 10:00:00,27,Atalanta,Venezia,0,0,0,1.22,6.25,13.0,2024-2025,Venezia,Atalanta,0-2,8,2025-03-01
2025-02-28 15:45:00,27,Fiorentina,Lecce,1,1,0,1.62,3.9,5.75,2024-2025,Lecce,Fiorentina,0-6,8,2025-02-28
2025-02-24 15:45:00,26,AS Roma,Monza,1,4,0,1.4,4.5,8.0,2024-2025,Monza,AS Roma,1-1,7,2025-02-24
2025-02-23 15:45:00,26,Cagliari,Juventus,2,0,1,4.5,3.5,1.8,2024-2025,Juventus,Cagliari,1-1,7,2025-02-23
2025-02-23 13:00:00,26,Empoli,Atalanta,2,0,5,5.5,4.1,1.57,2024-2025,Atalanta,Empoli,3-2,17,2025-02-23
2025-02-23 10:00:00,26,Hellas Verona,Fiorentina,1,1,0,4.0,3.7,1.85,2024-2025,Fiorentina,Verona,3-1,12,2025-02-23
2025-02-23 07:30:00,26,Como,Napoli,1,2,1,4.0,3.75,1.83,2024-2025,Napoli,Como,3-1,7,2025-02-23
2025-02-22 15:45:00,26,Inter,Genoa,1,1,0,1.29,5.5,9.5,2024-2025,Genoa,Inter Milan,2-2,1,2025-02-22
2025-02-22 13:00:00,26,Torino,AC Milan,1,2,1,3.6,3.5,2.0,2024-2025,AC Milan,Torino,2-2,1,2025-02-22
2025-02-22 10:00:00,26,Parma,Bologna,1,2,0,4.0,3.7,1.85,2024-2025,Bologna,Parma,0-0,7,2025-02-22
2025-02-22 10:00:00,26,Venezia,Lazio,0,0,0,4.5,3.8,1.73,2024-2025,Lazio,Venezia,3-1,1,2025-02-22
2025-02-21 15:45:00,26,Lecce,Udinese,2,0,1,2.8,3.25,2.5,2024-2025,Udinese,Lecce,1-0,7,2025-02-21
2025-02-17 15:45:00,25,Genoa,Venezia,1,2,0,2.0,3.2,4.0,2024-2025,Venezia,Genoa,2-0,5,2025-02-17
2025-02-16 15:45:00,25,Juventus,Inter,1,1,0,3.2,3.3,2.25,2024-2025,Inter Milan,Juventus,4-4,9,2025-02-16
2025-02-16 13:00:00,25,Parma,AS Roma,2,0,1,4.5,3.75,1.73,2024-2025,AS Roma,Parma,5-0,17,2025-02-16
2025-02-16 10:00:00,25,Monza,Lecce,0,0,0,2.25,3.2,3.2,2024-2025,Lecce,Monza,2-1,16,2025-02-16
2025-02-16 10:00:00,25,Udinese,Empoli,1,3,0,2.0,3.2,4.0,2024-2025,Empoli,Udinese,1-1,13,2025-02-16
2025-02-16 07:30:00,25,Fiorentina,Como,2,0,2,1.73,3.75,4.5,2024-2025,Como,Fiorentina,0-2,13,2025-02-16
2025-02-15 15:45:00,25,AC Milan,Hellas Verona,1,1,0,1.33,5.0,9.0,2024-2025,Verona,AC Milan,0-1,17,2025-02-15
2025-02-15 13:00:00,25,Lazio,Napoli,0,2,2,2.9,3.3,2.4,2024-2025,Napoli,Lazio,0-1,15,2025-02-15
2025-02-15 10:00:00,25,Atalanta,Cagliari,0,0,0,1.33,5.0,9.0,2024-2025,Cagliari,Atalanta,0-1,16,2025-02-15
2025-02-14 15:45:00,25,Bologna,Torino,1,3,2,1.8,3.5,4.5,2024-2025,Torino,Bologna,0-2,17,2025-02-14
2025-02-10 15:45:00,24,Inter,Fiorentina,1,2,1,1.57,3.9,6.25,2024-2025,Fiorentina,Inter Milan,3-0,14,2025-02-10
2025-02-09 15:45:00,24,Napoli,Udinese,0,1,1,1.36,4.75,9.5,2024-2025,Udinese,Napoli,1-3,16,2025-02-09
2025-02-09 13:00:00,24,Lecce,Bologna,0,0,0,3.3,3.3,2.25,2024-2025,Bologna,Lecce,1-0,11,2025-02-09
2025-02-09 10:00:00,24,Cagliari,Parma,1,2,1,1.95,3.5,3.9,2024-2025,Parma,Cagliari,2-3,6,2025-02-09
2025-02-09 10:00:00,24,Lazio,Monza,1,5,1,1.44,4.0,9.0,2024-2025,Monza,Lazio,0-1,12,2025-02-09
2025-02-09 07:30:00,24,Venezia,AS Roma,2,0,1,3.75,3.3,2.1,2024-2025,AS Roma,Venezia,2-1,6,2025-02-09
2025-02-08 15:45:00,24,Torino,Genoa,0,1,1,2.1,3.1,4.0,2024-2025,Genoa,Torino,0-0,15,2025-02-08
2025-02-08 13:00:00,24,Empoli,AC Milan,2,0,2,5.5,3.4,1.75,2024-2025,AC Milan,Empoli,3-0,14,2025-02-08
2025-02-08 10:00:00,24,Hellas Verona,Atalanta,2,0,5,6.0,4.33,1.53,2024-2025,Atalanta,Verona,6-1,9,2025-02-08
2025-02-07 15:45:00,24,Como,Juventus,2,1,2,4.1,3.4,1.95,2024-2025,Juventus,Como,3-0,1,2025-02-07
2025-02-03 15:45:00,23,Cagliari,Lazio,2,1,2,4.1,3.5,1.85,2024-2025,Lazio,Cagliari,2-1,11,2025-02-03
2025-02-02 15:45:00,23,AS Roma,Napoli,0,1,1,2.88,3.2,2.45,2024-2025,Napoli,AS Roma,1-0,13,2025-02-02
2025-02-02 13:00:00,23,AC Milan,Inter,0,1,1,3.0,3.3,2.3,2024-2025,Inter Milan,AC Milan,1-2,5,2025-02-02
2025-02-02 10:00:00,23,Fiorentina,Genoa,1,2,1,1.67,3.9,4.75,2024-2025,Genoa,Fiorentina,0-1,10,2025-02-02
2025-02-02 07:30:00,23,Juventus,Empoli,1,4,1,1.4,4.5,8.5,2024-2025,Empoli,Juventus,0-0,4,2025-02-02
2025-02-01 15:45:00,23,Bologna,Como,1,2,0,1.9,3.4,4.0,2024-2025,Como,Bologna,2-2,4,2025-02-01
2025-02-01 13:00:00,23,Atalanta,Torino,0,1,1,1.42,4.5,7.0,2024-2025,Torino,Atalanta,2-1,2,2025-02-01
2025-02-01 10:00:00,23,Monza,Hellas Verona,2,0,1,2.15,3.25,3.4,2024-2025,Verona,Monza,0-3,8,2025-02-01
2025-02-01 10:00:00,23,Udinese,Venezia,1,3,2,1.9,3.25,4.33,2024-2025,Venezia,Udinese,3-2,10,2025-02-01
2025-01-31 15:45:00,23,Parma,Lecce,2,1,3,2.05,3.4,3.5,2024-2025,Lecce,Parma,2-2,5,2025-01-31
2025-01-27 15:45:00,22,Genoa,Monza,1,2,0,2.05,3.2,3.9,2024-2025,Monza,Genoa,0-1,2,2025-01-27
